GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
6000617	506887	101	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/FRET2/KUKUNA//FRET2/6/MILAN/KAUZ//PRINIA/3/BAV92	4.64	7.36	51.3	90
6000619	506887	103	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/FRET2/KUKUNA//FRET2/6/MILAN/KAUZ//PRINIA/3/BAV92	4.31	6.78	52.2	80.5
6000623	506887	107	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/FRET2/KUKUNA//FRET2/6/MILAN/KAUZ//PRINIA/3/BAV92	4.23	6.89	54.4	80
6000626	506887	110	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/FRET2/KUKUNA//FRET2/6/MILAN/KAUZ//PRINIA/3/BAV92	4.22	6.94	53.5	80.5
6000630	506892	45	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/ATTILA*2/PBW65/6/PBW343*2/TUKURU	3.72	6.85	50.5	83
6000632	506892	47	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/ATTILA*2/PBW65/6/PBW343*2/TUKURU	3.28	6.55	40.9	81
6000642	506897	38	MILAN/KAUZ//PRINIA/3/BAV92/4/PASTOR*2/BAV92/5/TACUPETO F2001*2/KUKUNA	4.2	7.6	53.4	86
6000648	506898	48	MILAN/KAUZ//PRINIA/3/BAV92/4/ATTILA/BAV92//PASTOR/5/CNO79//PF70354/MUS/3/PASTOR/4/BAV92	4.36	7.16	52.9	86
6000673	506904	50	KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA/4/WHEAR/5/ATTILA/BAV92//PASTOR	4.23	7.61	43	84.5
6000674	506907	24	PASTOR/FLORKWA-1//BAV92/3/WBLL1*2/KUKUNA/5/CNO79//PF70354/MUS/3/PASTOR/4/BAV92	4.06	5.89	48.8	79.5
6000684	506911	81	RL6043/4*NAC//PASTOR/3/BAV92/4/ATTILA/PASTOR/5/PBW343*2/TUKURU	3.99	7.15	45.5	84.5
6000696	506914	21	ATTILA/PASTOR/3/ATTILA/BAV92//PASTOR/4/PBW343*2/TUKURU	3.81	6.99	46.7	87
6000699	506915	64	ATTILA/PASTOR//ATTILA*2/PBW65/3/PBW343*2/KUKUNA	3.73	8.08	48.7	84
6000707	506915	72	ATTILA/PASTOR//ATTILA*2/PBW65/3/PBW343*2/KUKUNA	4.11	7.61	45	92
6000714	506916	58	ATTILA/PASTOR/3/BABAX/KS93U76//BABAX/4/PBW343*2/KUKUNA	4.07	8.02	48.4	85
6000729	506923	75	ATTILA/BAV92//PASTOR/3/ATTILA*2/PBW65/4/ATTILA/PASTOR	4.29	7.59	49.5	80
6000734	506923	80	ATTILA/BAV92//PASTOR/3/ATTILA*2/PBW65/4/ATTILA/PASTOR	4.22	7.43	47.6	85
6000813	507022	31	PASA/SAET/4/KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA/8/TNMU/6/PEL74144/4/KVZ//ANE/MY64/3/PF70354/5/BR14/7/BR35	4.25	7.39	49.2	87.5
6000825	507024	63	LAJ3302/3/GZ156/NAC//PSN/URES/4/WEAVER/5/TNMU/ATTILA/6/SHA3/CBRD	4.16	7.36	50.9	89.5
6000828	507030	46	CROC_1/AE.SQUARROSA (205)//2*BCN/3/PASTOR*2/BAV92/4/FINSI	4.21	7.17	49.2	87
6000863	507042	62	BABAX/LR39//BABAX/4/BJY/COC//PRL/BOW/3/FRTL/5/CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY	3.97	7.66	43.4	86.5
6000864	507042	63	BABAX/LR39//BABAX/4/BJY/COC//PRL/BOW/3/FRTL/5/CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY	3.76	6.55	48.9	78.5
6000866	507044	33	BABAX/LR39//BABAX*2/4/KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA	4.22	7.87	57.9	87
6000868	507044	35	BABAX/LR39//BABAX*2/4/KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA	4.3	6.11	57.7	78.5
6000878	507049	50	BABAX/LR43//BABAX/3/FRTL/2*PIFED/4/BABAX/LR42//BABAX	3.99	6.63	49.7	86.5
6000899	507054	30	TNMU/ATTILA*2//SOKOLL	3.82	6.41	49.1	86
